12,926,1,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
PAN039-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN040,EC1,0,130,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN040-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN041,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN041-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN042,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN042-FTA,EC1,0,134,136,0,264,266,286,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN043-FTA,EC1,0,130,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN044,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN044-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN045,PE3,0,142,142,0,266,266,0,288,294,0,166,170,0,192,195,0,244,244,0,279,279,0,158,166,0,268,268,0,341,355,0,175,175,0,205,217
PAN045-FTA,EC1,0,130,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
